word, postcount, commentcount 
content,0,1
re,1,1
contained,0,1
shouldn't,2,3
7,2,2
Maybe,1,0
print,1,4
lecture,2,1
receiving,1,0
issue,2,10
correct,1,1
Bitbucket,0,1
Bridged,0,1
theory,0,1
dictionary,0,9
you're,1,8
siege,1,0
surveys,0,1
free,0,3
drives,0,1
in/after,1,1
reason,1,2
base,0,1
mmk,0,1
NAT,0,5
bidirectional,0,2
heads,1,0
Chia-Fang,0,2
beginning,0,1
guy,1,0
bash,1,3
1072,0,1
C:\Users\Alex\Downloads\mint2\HCDE310-linuxmint-17.1-cinnamon-64bit.vdi,0,2
indent,1,0
thread,0,1
created,1,1
limit,0,1
Navigate,0,2
route,0,1
script,0,6
messages,0,1
wrong,0,4
times,2,3
creates,0,1
pasting,0,1
expecting,0,1
wrote,0,1
onto,0,2
Eric,0,2
feed,1,1
major,1,1
note,0,2
fetched,1,1
characters,0,5
Elastic,0,1
guessing,1,0
feel,0,1
question,1,2
Please,0,1
encouraging,0,1
system,0,16
Kelly,0,2
fetches,0,1
submit,3,0
customization,0,1
blank,1,0
array,0,1
Facebook-scale,0,1
miss,1,0
tomorrow,4,6
doesn't,2,12
guess,0,2
Okay,0,3
writes,0,1
Monday,2,3
start,1,6
guys,4,2
top,0,2
Tien,0,1
folders(i.e,0,1
unspecified,1,1
Hmm,0,1
2,7,9
master,1,1
listed,2,1
statement,0,2
typing,0,1
white,0,1
alright,1,0
CourseFIles/hcde310a16/Homeworks,0,1
2-3,0,1
testing,2,1
VBOXMANAGE.EXE,0,2
explanation,0,1
exactly,0,2
Homeworks,2,8
somewhat,0,1
PDF,1,3
copy,1,7
specify,0,1
vocab,1,0
10,0,1
impractical,0,1
array[0,0,1
hcde310@adminuser-VirtualBox,0,2
collaborations,0,1
18,0,2
https://git.assembla.com/hcde310a16.git,0,1
programs,0,1
typically,0,2
submitted,1,1
project,2,1
Spaces,0,2
silly,1,0
supposed,0,3
Sheena,0,2
similar,0,3
https://www.docker.com/what-docker,0,1
result,1,1
function,2,4
https://app.assembla.com/spaces/hcde310a16/git/source,0,1
ran,0,2
navigate,0,1
pass,0,1
mine,0,1
5:50,0,1
Machine,4,3
talking,1,0
chmod,0,1
medium,0,1
Network,0,3
host,0,2
1,2,5
10:00-11:00,1,0
mint,2,0
linked,1,0
contents,0,1
complete,0,1
advice,1,0
documents,1,0
depending,0,1
USB's,2,1
Gilbert,1,0
able,6,8
aside,1,0
Lucia,2,2
Let's,0,1
mix,0,2
sh,1,1
snippets,1,0
Virtual,6,3
online,1,0
=,0,3
gethw.sh,1,0
re-opening,0,1
folders,2,2
lectures,0,2
tonight,0,1
added,2,1
altered,1,0
committing,0,2
index,0,1
track,0,1
object,0,2
systems,0,2
team->commit->team,1,0
Pooja,0,1
connecting,0,1
experiences,0,1
wordFreq,0,2
scripts,0,2
services,0,1
Kelsey's,0,1
lions/tigers,1,0
class,2,15
Typical,1,0
Google,1,2
empty...how,1,0
fills,0,1
windows,0,1
industry,1,0
removed,0,1
sometimes,0,5
drive,0,4
spend,1,0
looked,0,2
10am,1,0
you'll,0,4
lounge,3,2
tech,0,1
HCDE,1,1
SDK,0,1
assemblia,1,0
consumes,0,1
Cloud,0,3
conditionals,0,1
saying,1,0
hw3part1.py,1,0
spaced,0,1
commas,1,0
text,2,3
supported,0,1
connect,0,1
spaces,2,1
inconsistent,1,0
USB,0,4
tend,0,1
fine,7,8
feedback,0,1
current,1,1
believe,2,0
Files\Oracle\VirtualBox,0,1
parameters,1,0
menu,1,5
explain,1,0
distributed,0,1
423B,0,1
linefeed,1,1
bug,1,0
terminal,2,13
commit/push,2,2
resubmit,1,0
updating,1,0
pretty,0,2
override,1,0
8,4,1
folder,7,10
Msged,0,1
hope,0,1
meant,0,1
count,1,2
handle,0,2
means,2,2
utilities,0,1
0%,0,1
stop,0,1
Bonnie,0,1
repo,2,2
weblog,0,1
display,0,2
words,1,2
import,0,2
homeworks,1,4
Downloading,1,0
reviewed,0,1
bat,1,0
spikes,0,1
bar,1,1
intuitive,0,1
settings,0,2
3:30pm,0,1
https://canvas.uw.edu/courses/1066100/pages/git-from-terminal,0,2
restarted,1,0
remove,0,2
morning,1,0
planned,0,1
bad,0,2
stored,0,1
Engine,0,1
common,0,4
shots,0,1
contain,1,1
hw2exercises.py,1,0
hw2-part3.py,0,1
fixed,1,3
files/folders,1,0
test.txt,0,1
view,0,3
available,0,2
set,0,5
HCDE310,0,1
exists,1,0
configured,0,1
310,1,2
uw,1,0
module,1,1
#9,1,0
computer,2,3
expedience,0,1
sean,0,1
corrupt,0,1
progress,0,1
#1,0,1
John,2,3
2.7,0,1
Homework,1,3
definitely,0,1
#,2,1
VirtualMachines,0,1
expert,1,0
missing,0,3
please,3,4
sites,0,1
Oct,1,0
Hours,2,0
written,2,0
there's,2,1
correctly,2,4
example,1,1
probably,0,2
neither,1,0
reading,0,1
approach,0,2
email,0,1
knowing,0,1
web,0,6
confusion,0,1
screen,3,2
key,0,1
Team,0,1
analyzed,0,1
Weird,0,1
Otherwise,0,1
suggested,0,1
received,0,1
commands,0,2
commenting,0,1
indexing,1,0
til,0,1
wouldn't,1,0
Hard,0,1
powershell,0,1
https://www.virtualbox.org/wiki/Downloads,0,1
vbox,0,1
connection,2,1
https://canvas.uw.edu/courses/1066100/files/folder/getHW,1,0
Lounge,1,0
restarting,0,1
forgotten,0,2
pdf,1,1
Yes,0,5
browser,0,3
question/issue,0,1
can't,1,2
otherwise,1,0
comment,2,2
PDFs,1,0
Guest,0,1
debugging,0,1
simple,1,1
12:00-1:00,3,0
Hey,5,0
environments,3,5
cd,3,7
C:/Users/Bonnie/Downloads/VM310/Mint/HCDE310-linuxmint-18-64bit.vbox,1,0
interface,0,1
simply,1,0
Closed,1,0
path,1,1
decide,0,1
Sorry,1,1
crew,1,0
shoudn't,0,1
speak,0,1
erased,1,0
finally,0,1
GitHub,1,0
I've,2,11
normal.mod,1,0
it's,5,13
autocorrect,0,1
py,3,3
copies,0,2
https://www.dropbox.com/s/0aawafxoik35v5a/VM310.zip?dl=0,0,1
mark,0,2
extraction,0,1
Is-a~/CourseFiles/hcde310a16,0,1
options,1,1
customize,0,1
Services,0,1
expected,0,2
copied,0,2
slightly,0,1
Assembla,0,3
empty,0,5
location,0,2
username,0,2
6a,1,0
life,2,0
6c,1,0
corresponding,0,1
3:30-5pm,1,0
That'd,0,1
am,4,7
what's,0,2
dates,1,0
test/deploy,0,1
argument,0,1
laptops,0,1
photos,0,1
finished,0,2
figured,0,1
understand,1,0
external,0,1
input,1,0
catch,0,1
extract,0,1
HW2,5,4
former,1,1
HW0,1,1
That's,1,2
wordFreq("hw3feed.txt",'post')["anyone,0,1
dash,1,0
reinstalled,0,3
look,0,9
virtual,9,21
plain,0,1
harder,0,1
wordFreq("hw3feed.txt","post,0,2
trick,0,2
warning,0,1
suppose,0,1
Change,1,0
none,1,0
error,12,15
Lauren,0,1
overrides,1,0
loop,0,4
mistake,0,2
rename,0,1
larger,1,0
Homeworks_OrginalVersions,0,1
played,0,1
cents,0,1
tool,0,1
completed,2,0
vm,1,0
Invalid,0,1
encountered,0,1
solved,0,1
skipping,0,1
vs,1,1
Hi-DPI,0,1
access/download,1,0
emailed,0,1
leaving,0,1
Sieg,1,3
Drag,0,1
funny,0,1
containing,1,0
Becky,0,2
develop,0,1
anymore,2,0
etc,1,1
Python,1,3
Sie-ce,0,1
intended,0,1
E.g,1,0
Stop,1,0
amount,0,1
hw3,0,1
python,1,3
authentication,0,1
strange,0,1
exist/have,0,1
split,0,1
copying,1,0
incorrectly,0,1
9,0,2
reminder,1,0
document,1,2
Posted,0,1
week,1,1
outside,0,3
finish,0,1
won't,0,2
screenshot,1,12
keys,1,0
assignment,5,3
downloads,0,2
1-2,0,1
VM,6,8
Download,0,1
running,2,6
moving,0,2
user,3,0
student,4,3
distinction,0,1
Usually,0,1
changing,0,1
12pm,1,0
insisted,1,0
totally,0,2
relies,0,1
slicing,1,0
task,0,1
shortly,0,1
Amazon,0,1
rules,0,1
charger,1,0
uploading,2,2
customized,0,1
analysis,0,2
double,0,1
tar.gz,0,1
directly,0,2
part3,0,1
command,3,6
sets,0,1
Mint,1,3
latter,1,0
left,4,7
load,1,1
learning,0,1
Thank,0,4
increasingly,0,2
notification,0,1
starting,0,2
rest,0,1
ideas,0,2
quotes,0,1
mistakes,0,1
thanks,0,9
questions,1,1
Commit,0,1
regardless,0,2
extracted,0,1
home/hcde310/CourseFiles/hcde310a16,0,1
halfway,1,0
adding,0,5
password,3,2
console,1,0
$,0,3
instance,0,1
we've,0,1
character,1,1
except,0,3
desktop,0,5
source,0,1
add,0,8
internal,0,1
4,4,1
easy,0,4
Pictures,1,0
snap,0,1
5,0,1
save,0,1
submissions,1,1
homework,5,6
designate,0,1
Ok,0,4
Unfortunately,0,1
Oh,0,1
read,1,2
couple,0,5
instructors,0,2
Eclipse,1,6
before/during,0,1
corresponds,0,1
Try,0,1
possibly,0,1
whichever,0,1
traffic,0,1
makes,0,2
press,0,1
using,4,15
bit,1,5
CourseFiles,0,4
projects,0,2
helpful,0,2
Mallory,0,2
quickly,0,1
UUID,1,1
submission,2,3
HW1,2,0
alternatively,0,1
future,0,1
performing,0,1
51,1,0
50,2,2
preference,0,1
server,0,1
specific,1,0
continue,0,1
steps,0,1
Glad,0,1
night,1,0
vdi,0,2
output,2,2
from(CourseFiles/hcde310a16,0,1
OS,0,2
page,1,4
google,0,1
hw2-execises.py,0,1
gist,0,1
h1.hw1,0,1
tells,1,0
team->commit,0,1
conditional,0,2
HW,2,0
Homeworks_OringinalVersions,0,1
Kuo,0,1
There's,1,1
hassle,0,1
Homeworks_OriginalVersion,1,1
specified,0,2
proper,0,1
home,1,4
reasons,0,1
happens,1,5
provided,0,1
cp,0,1
grading,0,3
dropping,0,1
comments,2,0
428,1,0
timestamped,0,1
Hi,1,16
Windows,3,8
cloud,0,1
assuming,2,0
Interface,0,1
rethink,0,1
3:30,2,2
422,1,1
Here's,2,0
Box,2,0
core,0,1
Drop,0,1
run,5,13
Mackenna,0,1
repository,1,14
manipulate,0,1
deleted,1,4
update,1,2
overall,0,1
popular,0,1
step,1,3
substituted,0,1
actual,0,1
losing,0,1
eye,0,1
post,0,7
refers,0,1
paste,0,2
Hello,3,0
CourseFiles/hcde310a16,1,3
comparison,0,1
quarter,0,1
commited,0,1
8pm,1,0
getting,7,6
reappear,0,1
completing,0,1
hw2-exercises.py,2,3
drag,0,4
recognized,0,1
Celina,0,1
guest,0,2
dialog,0,2
commit,5,9
permission,0,1
entered,1,0
backup,0,1
create,0,1
automatically,0,1
software,0,1
Web,0,1
own,2,2
statements,0,1
formerly,0,1
follows,0,1
image,2,1
due,3,0
authenticating,0,1
appropriate,0,1
promise,0,1
troubleshooting,1,2
IDE,2,1
MacBook,0,1
logged,0,1
git,8,28
grub,1,0
apps,0,2
removing,0,1
initial,0,1
hw2-exercises,0,1
hey,0,2
specifically,1,0
noticed,0,2
stuck,0,1
hw2feed.text,0,1
unstaged,0,2
editor,0,1
lot,1,4
4:30,2,2
notices,0,1
overhead,0,1
3:30-4:30pm,1,0
happy,1,1
files,15,22
We'll,0,1
successfully,1,1
Compute,0,1
wondering,1,1
test/run,0,1
12-1pm,1,2
editing,0,1
buggy,0,1
removes,0,1
hw,0,3
yeah,0,1
Karras,0,1
respository,1,0
properly,0,1
link,1,2
accessing,1,0
line,5,9
trying,2,4
Original,0,2
production,0,2
I'll,1,9
pull,1,7
Office,3,0
versions,1,0
sethduuid,0,2
inside,0,3
staged,1,1
hosting,0,1
devices,1,0
Preferences,0,1
navigating,1,0
containers,0,1
submitting,1,1
highlight,1,0
distribution,0,1
minutes,1,0
called,2,2
delete,0,2
Jessie,0,1
developing,0,1
FeedProcessor,1,0
prevented,0,1
recognize,0,2
mirror,1,0
moved,1,3
direction,0,1
Thursday,1,2
Terminal,0,1
enable,0,2
exist,4,0
file,17,36
cmd+shift+4,0,1
annoying,0,1
hw2,2,6
check,1,6
hw0,1,1
hw1,4,0
tedious,0,1
floor,0,1
fixing,1,0
invalid,1,0
CourseFiles/Homeworks,0,1
website,1,0
clicking,0,2
Mac,0,3
valid,1,0
compares,0,1
popping,0,1
Student,1,0
test,1,4
nice,1,0
This\n,0,1
picture,2,2
stat,0,1
Alex,3,1
separate,0,1
students,0,2
Double,0,2
aggregates,0,1
setting,0,1
canvas,3,1
stay,0,1
push,2,5
chance,1,4
3:30-5:00,1,0
and/or,0,1
Morgan,1,0
variable,2,2
else,5,6
shown,1,0
whitespace,0,1
building,0,1
3:30-4:30,1,0
bitbucket,2,0
Host,0,1
remote,0,4
happening,0,2
tested,0,1
Ah,0,1
confirm,1,0
Yeah,0,5
Accept,1,0
dragged,0,1
write,0,2
we're,1,3
time,1,8
directory,1,20
requires,0,1
Manager,0,1
1:30-2:30,2,0
